id,url,user_name,screen_name,text,label
1245258800749250000,,COVID-19-Research,covid_19_RS,=@Anto39512827 There is no treatment needed for asymptomatic carriers. Just isolate until full immune response.,
1245120860513610000,,COVID-19-Research,covid_19_RS,RT @JSheltzer: New research from @joans and me on COVID-19: smoking triggers the expansion of a subpopulation of lung cells that express th…,
1244956157426490000,https://t.co/o2N7qdsjc8,COVID-19-Research,covid_19_RS,RT @virhostnet: Visualisation of the #SARSCoV / host protein #interactome  through @virhostnet (March 2020 release) https://t.co/o2N7qdsjc8…,
1244620656148450000,,COVID-19-Research,covid_19_RS,"RT @HoLabHIV: SARS-CoV-2: A Storm is Raging: Our Preview/Perspective for Chen on JCI: by day 8 after infection, it's cytokine storm and CD4…",
1244323039174590000,https://t.co/INzXSWKfH4,COVID-19-Research,covid_19_RS,"Infection with #SARSCoV2 may attack testicles, reduce testosterone:
https://t.co/INzXSWKfH4",
1244297877851120000,https://t.co/tqmh5fFnNo,COVID-19-Research,covid_19_RS,"World Health Organization Teams With IBM, Oracle on #Blockchain-Based #Coronavirus Data Hub

https://t.co/tqmh5fFnNo",
1244237599033730000,,COVID-19-Research,covid_19_RS,"RT @raoult_didier: 1003 patients traités à l'@ihu_marseille avec le protocole hydroxychloroquine-azithromycine. 
Notre priorité est de guér…",
1244191584360500000,,COVID-19-Research,covid_19_RS,RT @DrEricDing: US currently has over 124k cases  (approx +20k a day). This graph need a new expanded Y-axis by tomorrow. Notice that Turke…,
1244043040618160000,,COVID-19-Research,covid_19_RS,"RT @moreki_mo: I swear we are fighting two pandemics 
Covid 19 and Stupidity",
1243949808412430000,https://t.co/3RywHLCA2c,COVID-19-Research,covid_19_RS,@AmelieSpeaks @MePseu https://t.co/3RywHLCA2c,
1243912815078970000,https://t.co/ecAGKUOif9,COVID-19-Research,covid_19_RS,"How some cities ‘flattened the curve’ during the 1918 flu pandemic

https://t.co/ecAGKUOif9",
1243911678204540000,https://t.co/oBJsq3p0JH,COVID-19-Research,covid_19_RS,"""... the case fatality rate for residents was 33.7%""

#coronavirus #COVID19

https://t.co/oBJsq3p0JH",
1243880914767220000,https://t.co/euiMb2fkYu,COVID-19-Research,covid_19_RS,This 👇 https://t.co/euiMb2fkYu,
1243827010817980000,https://t.co/SDrW2rbW1H,COVID-19-Research,covid_19_RS,"Multiple organs are affected by #COVID19
This is not just a lung disease. https://t.co/SDrW2rbW1H",
1243656395481910000,,COVID-19-Research,covid_19_RS,RT @DrEricDing: Breaking🚨: Promising results from PLASMA TRANSFUSION! 📌5 critically ill #COVID19 patients on ventilators 📌treated w/ conval…,
1243643366933500000,,COVID-19-Research,covid_19_RS,"RT @MattFrieman: First SARS-CoV-2 preprint from the lab to get out drug screen data quickly. ""FDA approved drugs with broad anti-coronavira…",
1243626118021860000,https://t.co/DCxS8Jqshu,COVID-19-Research,covid_19_RS,"Working link for new #COVID19 treatment data #hydroxychloroquine #azithromycine 
PDF:
https://t.co/DCxS8Jqshu",
1243623643302840000,https://t.co/L1dPamN2KY,COVID-19-Research,covid_19_RS,🚨 New data from @raoult_didier for #COVID19 treatment with #hydroxychloroquine https://t.co/L1dPamN2KY,
1243617497133250000,,COVID-19-Research,covid_19_RS,RT @NIAIDNews: NEWS: @EmoryUniversity in Atlanta will begin enrolling healthy adult volunteers in a Phase 1 clinical trial of a vaccine des…,
1243582965961160000,,COVID-19-Research,covid_19_RS,RT @Olivercgrant: Glycosylated SARS-Cov-2 Spike Trimer. Biantennary LacNAc N-glycans (18 per protomer) are shown in dark magenta. Protein i…,
1243259602164160000,,COVID-19-Research,covid_19_RS,RT @medrxivpreprint: Acute kidney injury at early stage as a negative prognostic indicator of patients with COVID-19: a hospital-based retr…,
1243234865975360000,https://t.co/KhhPXWX1hV,COVID-19-Research,covid_19_RS,#COVID19 #coronavirus #SARSCoV2 https://t.co/KhhPXWX1hV,
1243125046891150000,https://t.co/KHDsGWSWU9,COVID-19-Research,covid_19_RS,"Study shows elevated cardiac marker enzyme CK-MB in children infected by #coronavirus

#COVID19 #SARSCoV2

https://t.co/KHDsGWSWU9",
1243071727166500000,,COVID-19-Research,covid_19_RS,"RT @nextstrain: Thanks to @GISAID we've just added 7 new genomes from 
@KU_Leuven in Belgium (green), 3 new genomes from @ICGEB Italy (yell…",
1242480479128800000,,COVID-19-Research,covid_19_RS,RT @medrxivpreprint: The impact of temperature and absolute humidity on the coronavirus disease 2019 (COVID-19) outbreak - evidence from Ch…,
1242406057198190000,,COVID-19-Research,covid_19_RS,"RT @virhostnet: Interesting Re-analysis of ""Hydroxychloroquine and Azithromycin as a treatment of COVID-19: preliminary results of an open-…",
1241509817119840000,,COVID-19-Research,covid_19_RS,"RT @MackayIM: ""The mean viral load of severe cases was around 60 times higher than that of mild cases, suggesting that higher viral loads m…",
1241438451829960000,,COVID-19-Research,covid_19_RS,"RT @MayoClinicINFD: There is no proven effective antiviral drug for the treatment of #SARSCoV2

Several compounds are suggested for Rx of #…",
1240997452867670000,https://t.co/3zGm93rvnF,COVID-19-Research,covid_19_RS,"RT @medrxivpreprint: Comparison of the coronavirus pandemic dynamics in Europe, USA and South Korea  https://t.co/3zGm93rvnF #medRxiv",
1240314705434090000,,COVID-19-Research,covid_19_RS,"RT @ImmunityCP: A status report on SARS-CoV-2 vaccines from 
@florian_krammer &amp; Fatima Amanat (pre-proof version) online now https://t.co/X…",
1240314146501140000,https://t.co/WmELmvgZcX,COVID-19-Research,covid_19_RS,RT @medrxivpreprint: Acute myelitis after SARS-CoV-2 infection: a case report.  https://t.co/WmELmvgZcX #medRxiv,
1240285019811260000,https://t.co/OGfGspWtXs,COVID-19-Research,covid_19_RS,"... aaaaaand #hydroxychloroquine !!!
Spread the word. ⏳🤪

#coronavirus #covid19 #SARSCoV2
https://t.co/OGfGspWtXs",
1239636683525630000,,COVID-19-Research,covid_19_RS,"RT @MackayIM: Rhesus macaques can be effectively infected with SARS-CoV-2 via ocular conjunctival route
#COVID19
🚨preprint
https://t.co/zfD…",
1239281927049350000,,COVID-19-Research,covid_19_RS,RT @DanielHurdiss: Inhibition of SARS-CoV-2 infection by a highly potent pan-coronavirus fusion inhibitor targeting its spike protein https…,
